run_id,process,N,trials,H0,trial,H_hat,sigma2_hat,K,L,sigma
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,1,0.1759749585823967,8.17208885172146,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,2,0.1498889888784247,6.876750045179003,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,3,0.1861019795537108,11.068056568248451,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,4,0.1586098661414007,5.986348966420782,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,5,0.1813558326660992,7.1098063792473285,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,6,0.2475909386570656,11.674013197632116,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,7,0.2869093558608218,12.636908908582448,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,8,0.143936423990497,4.215369782958609,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,9,0.2875128472199495,24.924291700643906,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,10,0.1020856385433789,5.0885608379323495,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,11,0.2096908139172584,12.062757109695523,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,12,0.242429494619704,8.038673389640683,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,13,0.2679756622901237,19.466787656315784,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,14,0.128630977064485,4.649680965395693,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,15,0.1673888773541329,6.932985366732807,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,16,0.3087599921097691,21.18646206027823,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,17,0.3743724903046175,32.66634243032561,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,18,0.237629262332226,12.017650917561514,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,19,0.1867643659269731,8.682719647510659,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,20,0.0588014527737652,2.889357187735332,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,21,0.3476386321875604,23.45223785111989,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,22,0.3894289746900214,55.89654081887411,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,23,0.1748498482942782,7.270524639120949,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,24,0.2734636907536265,17.197583075800484,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,25,0.15684495654203,6.614406324215495,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,26,0.2021985746359592,8.803116894023743,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,27,0.2037678370094555,5.735913368567895,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,28,0.1336690549665287,6.858221095750556,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,29,0.1804570112787684,10.643383568437738,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,30,0.2411158627187878,12.71016080595304,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,31,0.1874279218530519,8.083121889198404,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,32,0.2230043466156127,8.692107855755157,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,33,0.2513995453848012,13.726248827767602,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,34,0.2619137312095808,10.494396469766404,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,35,0.2262008576708364,12.746194859669668,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,36,0.3069589557875148,34.461923883093,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,37,0.433398886026803,71.00443138366774,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,38,0.072671732190022,4.455635608745039,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,39,0.0900168037115174,4.780431154618773,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,40,0.1429706773933908,4.666611948582524,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,41,0.3438676794185174,22.703731930969035,0.5,5,2
20260218_192535,DpwBiFbmSimulator,4096,200,0.4,42,0.4061384425845578,53.3950731905367,0.5,5,2
