run_id,process,N,trials,H0,trial,H_hat,sigma2_hat,K,L,sigma
20260212_183903,DpwFbmSimulator,4096,200,0.1,1,0.14959666403172345,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,2,0.10074763861875304,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,3,0.14431614428393003,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,4,-0.04469654162776737,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,5,-0.007306027975262138,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,6,0.1651987048637292,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,7,0.032867564076624174,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,8,0.22173160993701907,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,9,0.20881513978318375,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,10,0.11914223314255423,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,11,0.040069991518677614,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,12,0.12639677272160071,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,13,0.03263671713648342,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,14,0.046494300448038574,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,15,0.10706812637674698,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,16,0.11476168466753786,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,17,0.06382459965823176,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,18,0.12483243250483624,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,19,0.05293930926592804,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,20,0.09509517384983784,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,21,0.13549288833779122,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,22,0.14846123374321502,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,23,0.27025745282559077,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,24,0.14016829796119662,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,25,0.04626348877884711,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,26,0.13450670918088548,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,27,-0.06280393384014679,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,28,0.09522147062341688,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,29,0.13893344826165788,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,30,0.0696631086645093,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,31,0.09605159629863554,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,32,0.05933946395133177,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,33,0.02047070980936691,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,34,0.11652331132408192,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,35,0.10844497617529714,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,36,0.144054135553952,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,37,0.14452945469350184,,0.1,5,1
20260212_183903,DpwFbmSimulator,4096,200,0.1,38,0.17602900560019527,,0.1,5,1
